PIRATEN,GRÜNE,SPD,DIE LINKE,FDP,CDU/CSU,NPD,AfD,Tierschutzpartei,Die PARTEI,MLPD,ÖDP,PDV,Volksabstimmung,BP,FREIE WÄHLER,DiB,BGE,SGP,Tierschutzallianz,Allianz Deutscher Demokraten,B*,BüSo,DIE RECHTE,V-Partei³,Die Humanisten,Gesundheitsforschung,du.,MENSCHLICHE WELT,Die Grauen,DM,DKP
-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,-1,-1,1,-1,-1
1,1,-1,1,-1,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,1,1,-1,0,-1,0,-1,-1,1,0,0,0,1,-1,-1,1
-1,-1,-1,-1,-1,0,1,1,-1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,-1,-1,-1,1,-1
-1,1,1,1,-1,-1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,0,1,1,-1,1,1,-1,0,1,1,1,1,1
1,1,1,1,-1,1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
1,1,0,1,1,-1,1,1,0,1,-1,1,0,-1,1,1,0,1,1,-1,-1,1,-1,1,1,1,0,0,-1,1,-1,1
-1,-1,1,-1,0,1,1,1,-1,-1,-1,0,-1,1,-1,1,-1,-1,-1,1,1,-1,-1,1,-1,-1,0,-1,-1,1,-1,-1
1,1,0,1,-1,-1,-1,-1,1,1,1,1,-1,1,-1,1,1,1,1,1,-1,1,1,-1,0,0,0,1,1,-1,1,1
-1,1,-1,1,-1,-1,-1,-1,1,1,1,1,-1,1,-1,-1,1,1,1,0,-1,0,-1,-1,1,-1,0,1,1,-1,-1,1
-1,-1,0,-1,1,1,0,1,-1,-1,-1,-1,0,-1,0,1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,-1,-1,-1,-1,-1
-1,1,1,-1,-1,1,-1,-1,1,-1,0,-1,-1,-1,-1,1,1,-1,-1,1,1,0,1,-1,1,-1,0,1,1,1,1,-1
1,1,-1,1,-1,0,1,1,1,1,1,1,-1,1,0,-1,1,1,1,1,-1,1,-1,1,1,-1,0,1,1,1,1,1
-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,0,-1,-1,-1,-1,-1
-1,-1,-1,-1,1,1,-1,0,-1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,0,0,-1,-1,-1,1,-1
-1,-1,-1,-1,1,1,0,-1,-1,1,1,1,-1,1,-1,-1,1,0,1,0,-1,0,1,-1,-1,1,0,-1,-1,1,-1,-1
